Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,7,2,5
0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,6,3,6,9,7,0,0,9,7,0,1,1,0,1,1,2,0,9,0,7,9,5
0,2,7,0,5,7,1,5,2,1,0,1,0,1,1,1,1,0,0,0,6,3,6,9,7,0,0,9,7,2,1,2,0,1,1,2,0,9,9,7,9,5
0,3,7,0,5,7,1,5,2,1,0,1,0,1,8,1,3,0,0,0,6,3,6,9,9,0,0,9,7,2,1,2,0,1,1,2,0,7,9,7,9,5
0,4,7,0,6,7,1,5,2,1,0,1,0,1,8,1,3,0,0,0,6,3,6,9,7,0,0,9,7,2,1,2,0,1,1,2,0,7,8,7,9,5
0,5,7,0,6,3,1,5,2,1,0,1,2,1,8,1,3,0,0,0,6,3,6,1,7,0,0,9,7,2,1,2,0,1,1,2,0,7,8,7,9,5
0,6,7,0,6,2,1,5,2,1,0,1,2,1,8,1,3,0,0,0,6,3,6,1,7,0,0,9,7,2,1,2,0,1,1,2,0,7,8,7,9,5
0,7,7,0,6,2,1,5,2,1,0,1,2,1,8,1,3,0,0,0,6,3,6,1,7,0,0,9,7,2,1,2,0,1,1,4,0,7,8,7,9,5
0,8,7,0,6,2,1,5,2,1,0,1,2,1,8,1,3,0,0,0,6,1,6,1,7,0,0,9,7,2,1,2,0,1,1,4,0,7,8,7,9,5
0,9,7,0,6,2,1,5,7,1,0,1,2,1,8,1,3,0,0,0,6,1,6,1,7,0,0,9,7,2,1,2,0,1,1,4,0,7,8,7,9,5
0,10,7,0,6,2,1,5,7,1,0,1,2,1,8,1,3,0,0,0,6,1,6,1,7,0,0,9,7,2,1,2,0,1,1,4,0,7,8,7,9,5
